1.00 0.471543000 ph 0
1.10 0.497516000 ph 0
1.20 0.523443000 ph 0
1.30 0.549749000 ph 0
1.40 0.576796000 ph 0
1.50 0.604933000 ph 0
1.60 0.634507000 ph 0
1.70 0.665865000 ph 0
1.80 0.699288000 ph 0
1.90 0.734780000 ph 0
2.00 0.772278000 ph 0
2.10 0.811720000 ph 0
2.20 0.853042000 ph 0
2.30 0.896327000 ph 0
2.40 0.942246000 ph 0
2.50 0.991614000 ph 0
2.60 1.045246000 ph 0
2.70 1.103960000 ph 0
2.80 1.168082000 ph 0
2.90 1.235989000 ph 0
3.00 1.305568000 ph 0
3.10 1.374705000 ph 0
3.20 1.441290000 ph 0
3.30 1.503701000 ph 0
3.40 1.562291000 ph 0
3.50 1.617903000 ph 0
