0.70 0.388945000 ph 0
0.80 0.417698000 ph 0
0.90 0.445084000 ph 0
1.00 0.471543000 ph 0
1.10 0.497516000 ph 0
1.20 0.523443000 ph 0
1.30 0.549749000 ph 0
1.40 0.576796000 ph 0
1.50 0.604933000 ph 0
1.60 0.634507000 ph 0
1.70 0.665865000 ph 0
1.80 0.699288000 ph 0
1.90 0.734780000 ph 0
2.00 0.772278000 ph 0
2.10 0.811720000 ph 0
2.20 0.853042000 ph 0
2.30 0.896327000 ph 0
2.40 0.942246000 ph 0
2.50 0.991614000 ph 0
2.60 1.045246000 ph 0
2.70 1.103960000 ph 0
2.80 1.168082000 ph 0
2.90 1.235989000 ph 0
3.00 1.305568000 ph 0
3.10 1.374705000 ph 0
3.20 1.441290000 ph 0
3.30 1.503701000 ph 0
3.40 1.562291000 ph 0
3.50 1.617903000 ph 0
0.70 0.552190000 ph 1
0.80 0.598302000 ph 1
0.90 0.642106000 ph 1
1.00 0.683180000 ph 1
1.10 0.721101000 ph 1
1.20 0.755447000 ph 1
1.30 0.786318000 ph 1
1.40 0.815089000 ph 1
1.50 0.843327000 ph 1
1.60 0.872600000 ph 1
1.70 0.904460000 ph 1
1.80 0.939546000 ph 1
1.90 0.977082000 ph 1
2.00 1.016170000 ph 1
2.10 1.055912000 ph 1
2.20 1.095426000 ph 1
2.30 1.134205000 ph 1
2.40 1.172121000 ph 1
2.50 1.209057000 ph 1
2.60 1.244900000 ph 1
2.70 1.279595000 ph 1
2.80 1.313786000 ph 1
2.90 1.348568000 ph 1
3.00 1.385041000 ph 1
3.10 1.424308000 ph 1
3.20 1.467165000 ph 1
3.30 1.512381000 ph 1
3.40 1.557897000 ph 1
3.50 1.601654000 ph 1
